Amount,Candidate or committee,Candidate,Date,Employer,Number of Records,Occupation,Purpose,Recipient,Source,Table Name,Type of contribution
250,Sweet,"Sweet, Elizabeth A",6/27/94,,1,,,"Andrews, Thomas H (d)",Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Sweet,"Sweet, Elizabeth A",10/25/04,,1,Moose Ridge Assoc.,,Dnc Services Corp (d),Opensecrets.org,democratic-candidate-contributions.csv,Personal
250,Sweet,"Sweet, Elizabeth A",11/28/17,,1,Consultant,,Maine Democratic Party,Opensecrets.org,democratic-candidate-contributions.csv,Personal
150,Sweet,"Sweet, Elizabeth",5/15/98,Also Address Of St Treas Dale Mccormick,1,Moose Ridge Assoc,,"Mailhot, Richard H",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Sweet,"Sweet, Elizabeth",7/9/98,Also Address Of St Treas Dale Mccormick,1,Moose Ridge Assoc,,"Bromley, Lynn",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
100,Sweet,"Sweet, Elizabeth",10/26/02,"Self,",1,Lobbyist,,"Baldacci, John E",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Sweet,"Sweet, Elizabeth",11/2/05,Moose Ridge Associates,1,Lobbyist,,Maine Wont Discriminate,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Sweet,"Sweet, Elizabeth",11/21/05,"Self,",1,Consultant,,"Baldacci, John E",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Sweet,"Sweet, Elizabeth",6/1/06,"Self,",1,Consultant,,"Baldacci, John E",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
250,Sweet,"Sweet, Elizabeth",6/5/06,"Self,",1,Consultant,,"Baldacci, John E",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
500,Sweet,"Sweet, Elizabeth",10/18/06,"Self,",1,Consultant,,"Baldacci, John E",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Sweet,"Sweet, Elizabeth",3/27/14,Self,1,General Business,Monetary (Itemized); Individual,"May, Warren Charlotte",National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
50,Sweet,"Sweet, Elizabeth",10/21/14,Moose Ridge Associates,1,Other,,Michael H Michaud,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
75,Sweet,"Sweet, Elizabeth",3/2/15,Blank,1,,,House Democratic Campaign Committee,National Institute on Money in State Politics,democratic-candidate-contributions.csv,Personal
150,Sweet,"Sweet, Elizabeth",10/7/08,Moose Ridge Associates,1,Legislative Consulting,Monetary (Itemized),Maine Women's Leadership Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
100,Sweet,"Sweet, Elizabeth",10/1/11,Moose Ridge Associates,1,Lobbyist,Monetary (Itemized),Eves  Leadership Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
35,Sweet,"Sweet, Elizabeth",10/1/13,,1,,Monetary (Itemized),Maine Women's Leadership Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
35,Sweet,"Sweet, Elizabeth",10/22/13,Self,1,Lobbyist,Monetary (Itemized),The Dawn Hill Pac,Maine Ethics Commission,democratic-candidate-contributions.csv,Personal
