Receipt Amount,Recipient candidate,Recipient committee,City,State,Contributor name,Contributor type,Employer,Description,Date
$400 ,Fredette,Leadership For Maine's Future,Hancock,ME,Richard Malaby,Candidate,SELF-EMPLOYED,CONTRIBUTION,11/1/16
$310 ,Mason,Charting Maine's Future,Lisbon Falls,ME,Garrett Mason,Candidate,LEGISLATOR,,8/4/17
$300 ,Fredette,Leadership For Maine's Future,Cornish,ME,Nathan Wadsworth,Candidate,WADSWORTH WOODLANDS,,7/27/15
$250 ,Fredette,Leadership For Maine's Future,Hancock,ME,Richard Malaby,Candidate,SELF-EMPLOYED,,12/2/14
$200 ,Fredette,Leadership For Maine's Future,Dexter,ME,Raymond Wallace,Candidate,RETIRED,,9/25/14
$100 ,Fredette,Leadership For Maine's Future,Scarborough,ME,Heather Sirocki,Candidate,STATE OF MAINE,,7/29/15
$100 ,Fredette,Leadership For Maine's Future,Wells,ME,Bob Foley,Candidate,COLE HARRISON AGENCY,,7/30/15
"$13,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Me Truckpac,Business,,CONTRIBUTION,10/11/16
"$10,000 ",Fredette,Leadership For Maine's Future,Winston-salem,NC,Reynold's American,Business,,,10/21/08
"$7,500 ",Fredette,Leadership For Maine's Future,Augusta,ME,House Republican Majority,Business,,CONTRIBUTION,10/13/16
"$6,000 ",Fredette,Leadership For Maine's Future,Washington,DC,Grocery Manufacturer's Association,Business,,,9/2/08
"$5,000 ",Fredette,Leadership For Maine's Future,Stamford,CT,"Ust Public Affairs, Inc.",Business,,,10/8/08
"$5,000 ",Fredette,Leadership For Maine's Future,Winston-salem,NC,Reynold's American,Business,,,10/21/08
"$5,000 ",Fredette,Leadership For Maine's Future,Washington,DC,"Gopac, Inc.",Business,,,10/29/08
"$4,000 ",Mason,Charting Maine's Future,Washington,DC,American Chemistry Council,Business,,,10/29/14
"$3,000 ",Fredette,Leadership For Maine's Future,Monroe,ME,Pi Consulting Llc,Business,,CONTRIBUTION,5/12/16
"$2,750 ",Fredette,Leadership For Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,CONTRIBUTION,11/1/16
"$2,750 ",Fredette,Leadership For Maine's Future,Richmond,VA,"Altria Client Services, Inc.",Business,,,11/4/15
"$2,500 ",Fredette,Leadership For Maine's Future,Wilmington,DE,Astrazeneca,Business,,,8/1/13
"$2,500 ",Fredette,Leadership For Maine's Future,Augusta,ME,Maine Truck PAC,Business,,,9/16/08
"$2,500 ",Fredette,Leadership For Maine's Future,Fairfax,VA,Nra - Political Victory Fund,Business,,,9/30/08
"$2,500 ",Fredette,Leadership For Maine's Future,Newtown,CT,"National Shooting Sports Foundation, Inc.",Business,,,10/14/08
"$2,500 ",Fredette,Leadership For Maine's Future,Portland,ME,Bernstein Shur,Business,,,10/21/08
"$2,500 ",Fredette,Leadership For Maine's Future,South Portland,ME,Fairpoint Communications,Business,,,10/28/08
"$2,500 ",Fredette,Leadership For Maine's Future,San Francisco,CA,Sunrun Incorporated,Business,,,11/19/15
"$2,500 ",Fredette,Leadership For Maine's Future,Augusta,ME,Me Truckpac,Business,,,7/10/08
"$2,500 ",Fredette,Leadership For Maine's Future,Bangor,ME,"Bangor Historic Track, Inc./hollywood Slots Hotel & Raceway",Business,,,7/30/08
"$2,500 ",Fredette,Leadership For Maine's Future,Wilmington,DE,Astrazeneca,Business,,,7/9/14
"$2,500 ",Fredette,Leadership For Maine's Future,Portland,ME,Maine Credit Union League,Business,,,9/5/17
"$2,500 ",Fredette,Leadership For Maine's Future,Portland,ME,Maine Credit Union League,Business,,CONTRIBUTION,5/26/16
"$2,500 ",Fredette,Leadership For Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,1/4/16
"$2,400 ",Mason,Charting Maine's Future,Augusta,ME,Maine Beer & Wine Wholesalers Association,Business,,,11/1/16
"$2,100 ",Fredette,Leadership For Maine's Future,Augusta,ME,Build Maine PAC,Business,,,9/25/08
"$2,000 ",Mason,Charting Maine's Future,Louisville,KY,Churchill Downs,Business,,,8/15/16
"$2,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Me Truckpac,Business,,,10/28/08
"$2,000 ",Fredette,Leadership For Maine's Future,Augusta,ME,Maine Beer & Wine Wholesalers Association,Business,,,11/2/15
"$2,000 ",Fredette,Leadership For Maine's Future,Memphis,TN,"Pfizer, Inc.",Business,,,12/1/17
"$1,700 ",Fredette,Leadership For Maine's Future,Richmond,VA,"Altria Client Services, Inc.",Business,,,11/18/08
"$1,600 ",Fredette,Leadership For Maine's Future,Augusta,ME,Maine Beer & Wine Wholesalers Association,Business,,,11/2/15
"$1,551 ",Fredette,Leadership For Maine's Future,Bangor,ME,Bangor Letter Ship & Color Copy Center,Business,,"Invitations, RSVP cards, Envelopes, process mailing",6/27/08
"$1,500 ",Mason,Charting Maine's Future,Louisville,KY,Churchill Downs,Business,,,12/3/15
"$1,500 ",Mason,Charting Maine's Future,Louisville,KY,Churchill Downs,Business,,,12/27/17
"$1,500 ",Mason,Charting Maine's Future,Louisville,KY,"Sazerac Company, Inc.",Business,,,12/28/17
"$1,500 ",Mason,Charting Maine's Future,Cincinnati,OH,Anthem Blue Cross And Blue Shield,Business,,,8/15/16
"$1,500 ",Fredette,Leadership For Maine's Future,Augusta,ME,Maine Beer & Wine Wholesalers Association,Business,,CONTRIBUTION,11/2/16
"$1,500 ",Fredette,Leadership For Maine's Future,New Brunswick,NJ,Johnson & Johnson Corporate Political Fund,Business,,,12/17/15
"$1,500 ",Fredette,Leadership For Maine's Future,Wilmington,DE,Astrazeneca,Business,,,7/22/15
"$1,500 ",Fredette,Leadership For Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,9/5/17
"$1,500 ",Fredette,Leadership For Maine's Future,Washington,DC,Pharmaceutical Research And Manufacturers Of America,Business,,,9/4/15
"$1,500 ",Fredette,Leadership For Maine's Future,Wilmington,DE,Astrazeneca,Business,,,6/8/16
"$1,500 ",Fredette,Leadership For Maine's Future,South Portland,ME,Spectrum Medical Group,Business,,,10/2/17
"$1,500 ",Fredette,Leadership For Maine's Future,Richmond,VA,"Altria Client Services, Inc.",Business,,,8/21/14
"$1,250 ",Fredette,Leadership For Maine's Future,Hartford,CT,Aetna,Business,,CONTRIBUTION,11/7/16
"$1,250 ",Fredette,Leadership For Maine's Future,Jersey City,NJ,Anheuser Busch,Business,,,10/26/15
