Amount,Candidate or committee,Candidate,Recipient,Type of contribution,Date,Employer,Occupation,Purpose,Source
$350 ,Leadership For Maine's Future,Fredette Kenneth W,Donald G Marean,PAC,9/6/12,,,,Maine Ethics Commission
$250 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Richard H Campbell,PAC,9/6/12,,,,Maine Ethics Commission
$250 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Ms. Kimberly N Olsen,PAC,9/6/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future,Fredette Kenneth W,Karen D Foster,PAC,9/14/12,,,,Maine Ethics Commission
$250 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Ms. Beth A O'connor,PAC,9/14/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future Pac,Fredette Kenneth W,David D Johnson,PAC,9/15/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Dennis L Keschl,PAC,9/17/12,,,,Maine Ethics Commission
$250 ,Leadership For Maine's Future,Fredette Kenneth W,Roger E Reed,PAC,9/18/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Ms. Susan M Austin,PAC,9/18/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Heather W Sirocki,PAC,9/19/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Sarah O Lewin,PAC,9/21/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Brian M Duprey,PAC,10/1/12,,,,Maine Ethics Commission
$200 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Joyce A Fitzpatrick,PAC,10/1/12,,,,Maine Ethics Commission
$200 ,Leadership For Maine's Future,Fredette Kenneth W,Tyler Clark,PAC,10/5/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future,Fredette Kenneth W,Paul Edward Bennett,PAC,10/9/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Kyle Charles Rogers,PAC,10/18/12,,,,Maine Ethics Commission
$100 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Brian M Duprey,PAC,10/22/12,,,,Maine Ethics Commission
$350 ,Leadership For Maine's Future,Fredette Kenneth W,Garrett Paul Mason,PAC,10/23/12,,,,Maine Ethics Commission
$150 ,Leadership For Maine's Future,Fredette Kenneth W,Matthew Pouliot,PAC,10/23/12,,,,Maine Ethics Commission
$350 ,Leadership For Maine's Future Pac,Fredette Kenneth W,Ms. Ruth A Summers,PAC,10/24/12,,,,Maine Ethics Commission
"$2,500 ",Leadership For Maine's Future Pac,Fredette Kenneth W,Maine Republican Party,PAC,11/5/12,,,,Maine Ethics Commission
"$1,600 ",Leadership For Maine's Future,Fredette Kenneth W,House Republican Majority Fund,PAC,1/7/14,,,,Maine Ethics Commission
$175 ,Leadership For Maine's Future,Fredette Kenneth W,Karen R Vachon,PAC,5/5/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Paul F Cavanaugh,PAC,5/30/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,David C Burns,PAC,6/5/14,,,,Maine Ethics Commission
$250 ,Leadership For Maine's Future,Fredette Kenneth W,Ronald F Collins,PAC,6/5/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Brian D Langley,PAC,6/5/14,,,,Maine Ethics Commission
$250 ,Leadership For Maine's Future,Fredette Kenneth W,Garrett Paul Mason,PAC,6/5/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Amy F Volk,PAC,6/5/14,,,,Maine Ethics Commission
$375 ,Leadership For Maine's Future,Fredette Kenneth W,Patricia J Gagne,PAC,6/9/14,,,,Maine Ethics Commission
$250 ,Leadership For Maine's Future,Fredette Kenneth W,Paula G Sutton,PAC,6/10/14,,,,Maine Ethics Commission
$250 ,Leadership For Maine's Future,Fredette Kenneth W,Frances M Head,PAC,8/7/14,,,,Maine Ethics Commission
