"","case_no","visa_type","fy","last_event_date","case_status","n_requested","n_certified","is_certified","certification_begin_date","certification_end_date","job_title","employer_name","employer_state","employer_city","employer_address_1","employer_address_2","employer_postal_code","worksite_state","worksite_city","agent_name","organization_flag","is_duplicate"
"1",1284626,"H-2B",2000,1999-10-14,"DENIED, TEMPORARY",1,0,"False",NA,NA,"FAST FOODS WORKER","VILLAGE FOOD MARKET","ME","OGUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
"2",1285075,"H-2B",2000,1999-10-27,"DENIED, TEMPORARY",1,0,"False",NA,NA,"HOTEL CLERK","C.E.S. INC., DBA NORMANDIE MOTOR INN","ME","OLD ORCHARD BEACH",NA,NA,NA,NA,NA,NA,NA,NA
"3",1285534,"H-2B",2000,1999-11-03,"CERTIFIED, TEMPORARY",15,15,"True",NA,NA,"INSTRUCTOR, SPORTS","SUGARLOAF MOUTAIN CORPORATION","ME","CARRABASSET VALLEY",NA,NA,NA,NA,NA,NA,NA,NA
"4",1286965,"H-2B",2000,1999-12-16,"CERTIFIED, TEMPORARY",5,5,"True",NA,NA,"LABORER, TREE TAPPING","HILLTOP FARMS INC.","ME","MADISON",NA,NA,NA,NA,NA,NA,NA,NA
"5",1286966,"H-2B",2000,1999-12-16,"CERTIFIED, TEMPORARY",40,40,"True",NA,NA,"LABORER, TREE TAPPING","HILLTOP FARMS INC.","ME","MADISON",NA,NA,NA,NA,NA,NA,NA,NA
"6",1287726,"H-2B",2000,2000-01-04,"DENIED, TEMPORARY",5,0,"False",NA,NA,NA,"IMPERIAL HELL DRIVERS","ME","WINDSOR",NA,NA,NA,NA,NA,NA,NA,NA
"7",1288160,"H-2B",2000,2000-01-13,"CERTIFIED, TEMPORARY",100,100,"True",NA,NA,"LABORER, TREE TAPPING","ALLAGASH MAPLE PRODUCTS","ME","SKOWHEGAN",NA,NA,NA,NA,NA,NA,NA,NA
"8",1288607,"H-2B",2000,2000-01-25,"CERTIFIED, TEMPORARY",12,12,"True",NA,NA,"CLEANER, HOUSEKEEPING","ASPINQUID INC.","ME","OGUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
"9",1288606,"H-2B",2000,2000-01-25,"CERTIFIED, TEMPORARY",3,3,"True",NA,NA,"HOTEL CLERK","ASPINQUID INC.","ME","OGUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
"10",1289192,"H-2B",2000,2000-02-09,"CERTIFIED, TEMPORARY",7,7,"True",NA,NA,"CLEANER, HOUSEKEEPING","STAGE NECK INN","ME","YORK HABOR",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"11",1289193,"H-2B",2000,2000-02-09,"CERTIFIED, TEMPORARY",5,5,"True",NA,NA,"KITCHEN HELPER","STAGE NECK INN","ME","YORK HABOR",NA,NA,NA,NA,NA,"ANTIOCH ASSOCIATES U.S.A.:JANE ZIMMERMAN",NA,NA
"12",1290156,"H-2B",2000,2000-03-01,"CERTIFIED, TEMPORARY",8,8,"True",NA,NA,"COOK HELPER","JACKIE'S TOO INC.","ME","OQUNQUIT",NA,NA,NA,NA,NA,NA,NA,NA
