CASE_NUMBER,DECISION_DATE,VISA_CLASS,SUBMITTED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,NAICS_CODE,WORKERS_REQUESTED,WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,OVERTIME_PAY_RANGE_UNIT,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUM_MONTHS_TRAINING,NAME_REQUIRED_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION
H-400-16245-735040,18-Oct-16,H-2B,13-Sep-16,Certification,11-Dec-16,3-Jun-17,Allagash Maple Products Inc.,888 Bigelow Hill Road,,Skowhegan,ME,4976,United States Of America,,207-431-1481,,"Immigration Law Group, Llc",James O'keefe,Portland,ME,"Maple Tree Tapper, Laborer",45-4011,Forest And Conservation Workers,111998,50,50,Y,Seasonal,$14.36 ,Hour,,,,N,,None,N/A,N/A,N,,N,,,Y,1,Jackman,ME,4945,Y
H-400-16253-022327,17-Nov-16,H-2B,17-Oct-16,Certification,15-Jan-17,1-Jul-17,Maine Premier Soccer LLC,426 Bridge Street,N/a,Westbrook,ME,4092,United States Of America,N/A,207-887-9176,,"Pabian Law, Llc",Keith Pabian,Framingham,MA,Program Assistant,39-9032,Recreation Workers,61162,24,24,Y,Peakload,$12.81 ,Hour,,,,N,,None,N/A,N/A,N,,N,,,N,,Westbrook,ME,4092,Y
H-400-16328-685803,29-Dec-16,H-2B,1-Dec-16,Certification,1-Mar-17,15-Dec-17,PATTEN GROUNDS CARE INC,Po Box 801,297 Clayton Road,Ogunquit,ME,3907,United States Of America,N/A,207-361-1935,,U.S. Americans Inc,John Gismondi,Westbury,NY,Landscape Laborer,37-3011,Landscaping And Groundskeeping Workers,332212,20,20,Y,Seasonal,$15.21 ,Hour,22.82,22.82,,N,,None,N/A,NONE,N,,N,,,Y,1,OGUNQUIT,ME,3907,Y
H-400-16328-816929,12-Jan-17,H-2B,1-Dec-16,Certification,1-Mar-17,15-Dec-17,STONEY BROOK LANDSCAPING LLC,Po Box 116,1680 Us Route 1,York Harbor,ME,3911,United States Of America,N/A,207-351-8007,,U.S. Americans Inc,John Gismondi,Westbury,NY,Landscape Laborer,37-3011,Landscaping And Groundskeeping Workers,332212,6,6,Y,Seasonal,$13.90 ,Hour,20.85,20.85,,N,,None,N/A,NONE,N,,N,,,N,,YORK HARBOR,ME,3911,Y
H-400-16336-246970,28-Dec-16,H-2B,1-Dec-16,Certification,1-Mar-17,30-Nov-17,ANCHORAGE MOTOR INNS OF YORK INC,Po Box 1329,265 Long Beach Ave,York Beach,ME,3910,United States Of America,,207-363-5112,528,,,,,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,38,38,Y,Peakload,$10.60 ,Hour,15.9,,,N,,None,,,N,,N,,,Y,1,York Beach,ME,3910,N
H-400-16340-374062,17-Jan-17,H-2B,5-Dec-16,Certification,1-Mar-17,30-Nov-17,BOULAY LANDSCAPING,"Po Box 1314 Wells, Maine 04090",29 Rankin Street,Springvale,ME,4083,United States Of America,N/A,207-251-6230,,H2 Staffing,Alton Waite,Westbury,NY,Landscaping And Groundkeeping,37-3011,Landscaping And Groundskeeping Workers,561730,15,15,Y,Seasonal,$13.90 ,Hour,,,,N,,None,N/A,N/A,N,,N,,,N,,SPRINGVALE,ME,4083,Y
H-400-16354-540595,26-Jan-17,H-2B,28-Dec-16,Certification,1-Apr-17,18-Nov-17,"Earle W. Noyes & Sons Moving Specialists, Inc.",127 Oxford St,,Portland,ME,4101,United States Of America,,207-347-5031,,"Aztec Foreign Labor, Inc",Karen Schindler,Atascadero,CA,Material Movers,53-7062,"Laborers And Freight, Stock, And Material Movers,",48421,8,8,Y,Peakload,$14.28 ,Hour,,,,N,,None,,,N,,N,,,N,,Portland,ME,4101,Y
H-400-16318-671905,17-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,15-Dec-17,"ANCHORAGE MOTOR INN OF OGUNQUIT, INC.",P.O. Box 2406,125 Shore Road,Ogunquit,ME,3907,United States Of America,N/A,207-641-0717,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Cooks,35-2014,"Cooks, Restaurant",721110,12,12,Y,Peakload,$13.44 ,Hour,20.16,,,N,,None,N/A,N/A,N,,N,,,Y,6,OGUNQUIT,ME,3907,N
H-400-16318-417516,17-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,15-Dec-17,"ANCHORAGE MOTOR INN OF OGUNQUIT, INC.",P.O. Box 2406,125 Shore Road,Ogunquit,ME,3907,United States Of America,N/A,207-641-0717,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Housekeepers,51-6011,Laundry And Dry-cleaning Workers,721110,40,40,Y,Peakload,$10.24 ,Hour,15.36,,,Y,10,None,N/A,N/A,N,,N,,,Y,3,OGUNQUIT,ME,3907,N
H-400-16318-066055,14-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,30-Nov-17,"ANCHORAGE MOTOR INN OF OGUNQUIT, INC.",P.O. Box 2406,125 Shore Road,Ogunquit,ME,3907,United States Of America,N/A,207-641-0717,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Groundskeeper,37-3011,Landscaping And Groundskeeping Workers,721110,5,5,Y,Peakload,$15.21 ,Hour,22.82,,,N,,None,N/A,N/A,N,,N,,,Y,3,OGUNQUIT,ME,3907,N
H-400-16318-303587,17-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,15-Nov-17,"ANCHORAGE MOTOR INN OF OGUNQUIT, INC.",P.O. Box 2406,125 Shore Road,Ogunquit,ME,3907,United States Of America,N/A,207-641-0717,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Dishwashers,35-9021,Dishwashers,721110,4,4,Y,Peakload,$9.52 ,Hour,14.28,,,N,,None,N/A,N/A,N,,N,,,Y,3,OGUNQUIT,ME,3907,N
H-400-16318-149376,13-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,15-Nov-17,"ANCHORAGE MOTOR INN OF OGUNQUIT, INC.",P.O. Box 2406,125 Shore Road,Ogunquit,ME,3907,United States Of America,N/A,207-641-0717,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Servers,35-3031,Waiters And Waitresses,721110,16,16,Y,Peakload,$11.88 ,Hour,17.82,,,N,,None,N/A,N/A,N,,N,,,Y,3,OGUNQUIT,ME,3907,N
H-400-16318-276379,22-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,31-Oct-17,HANSON ENTERPRISES LLC,Po Box 2240,449 Main Street,Ogunquit,ME,3907,United States Of America,N/A,207-646-1742,,Peak Season Workforce,Joseph Bishop,Glen Allen,VA,Housekeeper,37-2012,Maids And Housekeeping Cleaners,721110,15,15,Y,Peakload,$10.24 ,Hour,15.36,,,N,0,None,N/A,N/A,N,,N,,,Y,3,OGUNQUIT,ME,3907,Y
H-400-16364-137800,8-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,1-Nov-17,HARTWELL HOUSE INN,Po Box 1950,312 Shore Road,Ogunquit,ME,3907,United States Of America,N/A,207-646-7210,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeeping,37-2012,Maids And Housekeeping Cleaners,721110,3,3,Y,Seasonal,$10.25 ,Hour,15.38,15.38,,N,,None,N/A,N/A,N,,N,,,Y,3,OGUNQUIT,ME,3907,N
H-400-16365-726922,9-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,31-Oct-17,TWO PARS INC,Po Box 1860,8 Beach Street,York Beach,ME,3910,United States Of America,N/A,207-363-1381,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeepers,37-2012,Maids And Housekeeping Cleaners,721110,7,7,Y,Seasonal,$10.60 ,Hour,15.9,15.9,,N,,None,N/A,N/A,N,,N,,,Y,1,YORK BEACH,ME,3910,N
H-400-16365-635342,27-Jan-17,H-2B,1-Jan-17,Certification,1-Apr-17,31-Oct-17,IOTB INC,Po Box 700,7 Ocean Avenue,York Beach,ME,3910,United States Of America,N/A,207-641-7039,,U.S. Americans Inc,John Gismondi,Westbury,NY,Food Preparation Worker,35-2021,Food Preparation Workers,722310,15,15,Y,Seasonal,$11.25 ,Hour,16.88,16.88,,N,,None,N/A,NONE,N,,N,,,Y,1,YORK BEACH,ME,3910,N
H-400-16365-992449,6-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,31-Oct-17,IOTB INC,Po Box 700,7 Ocean Avenue,York Beach,ME,3910,United States Of America,N/A,207-641-7039,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeeping,37-2012,Maids And Housekeeping Cleaners,722310,7,7,Y,Seasonal,$10.60 ,Hour,15.9,15.9,,N,,None,N/A,NONE,N,,N,,,Y,1,YORK,ME,3909,N
H-400-16364-856676,6-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,31-Oct-17,THE BEACHWOOD,29 W. Grand Ave.,P.O. Box 245,Old Orchard Beach,ME,4064,United States Of America,N/A,207-934-2291,,"H2 Visa Consultants, Llc",Robert Mccubbin,Missoula,MT,Housekeeper,37-2012,Maids And Housekeeping Cleaners,72111,7,7,Y,Peakload,$10.07 ,Hour,15.11,15.11,,N,,None,N/A,N/A,N,,N,,,Y,3,OLD ORCHARD BEACH,ME,4064,N
H-400-16364-860277,1-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,31-Oct-17,TWO PARS INC,Po Box 1860,8 Beach Street,York Beach,ME,3910,United States Of America,N/A,207-363-1381,,U.S. Americans Inc,John Gismondi,Westbury,NY,"Cooks, Short Order",35-2015,"Cooks, Short Order",721110,5,5,Y,Seasonal,$10.75 ,Hour,16.31,16.31,,N,,None,N/A,N/A,N,,N,,,Y,1,YORK BEACH,ME,3910,N
H-400-16365-333720,26-Jan-17,H-2B,1-Jan-17,Certification,1-Apr-17,31-Oct-17,IOTB INC,Po Box 700,7 Ocean Avenue,York Beach,ME,3910,United States Of America,N/A,207-641-7039,,U.S. Americans Inc,John Gismondi,Westbury,NY,Dining Room Attendant,35-9011,Dining Room And Cafeteria Attendants And Bartender,722310,2,2,Y,Seasonal,$10.05 ,Hour,15.08,15.08,,N,,None,N/A,NONE,N,,N,,,Y,1,YORK BEACH,ME,3910,N
H-400-16365-337232,1-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,29-Nov-17,Galyn's Galley,17 Main Street,P.O Box 411,Bar Harbor,ME,4609,United States Of America,,207-288-9706,,"Law Office Of Michele Contreras, Llc",Michele Contreras,Cherry Hill,NJ,Kitchen Worker,35-9021.00,Dishwashers,722110,8,8,Y,Seasonal,$9.55 ,Hour,14.33,,,N,,None,,,N,,N,,,N,,Bar Harbor,ME,4609,N
H-400-16365-404287,14-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,29-Nov-17,Galyn's Galley,17 Main Street,P.O Box 411,Bar Harbor,ME,4609,United States Of America,,207-288-9706,,Law Office Of Michele Contreras,Michele Contreras,Cherry Hill,NJ,Cook,35-2014,"Cooks, Restaurant",722110,5,5,Y,Seasonal,$11.03 ,Hour,16.55,,,N,,None,,,N,,N,,,Y,12,Bar Harbor,ME,4609,N
H-400-16365-502346,27-Jan-17,H-2B,1-Jan-17,Certification,1-Apr-17,15-Nov-17,CONARY COVE LOBSTER CO,83 Conary Cove Road,N/a,Deer Isle,ME,4627,United States Of America,N/A,207-348-6185,,U.S. Americans Inc,John Gismondi,Westbury,NY,Fish Packer,53-7064,"Packers And Packagers, Hand",332212,4,4,Y,Seasonal,$11.35 ,Hour,17.03,17.03,,N,,None,N/A,NONE,N,,N,,,Y,1,DEER ISLE,ME,4627,N
H-400-16365-414444,7-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,10-Nov-17,VILLAGE BY THE SEA OWNERS ASSOCIATION INC,Po Box 1107,1373 Post Road,Wells,ME,4090,United States Of America,N/A,207-646-1100,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeeping,37-2012,Maids And Housekeeping Cleaners,721110,7,7,Y,Peakload,$10.25 ,Hour,15.38,15.38,,N,,None,N/A,N/A,N,,N,,,Y,1,WELLS,ME,4090,N
H-400-16365-443582,10-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,31-Oct-17,"SMOKEY'S GREATER SHOWS, INC",521 Cummings St.,"[mail: Po Box 8066, Bangor Me 04402]",Sarasota,FL,34242-0000,United States Of America,N/A,941-685-4945,,"Jkj Workforce Agency, Inc",James Judkins,Harlingen,TX,Amusement And Recreation Attendants - Traveling Ca,39-3091,Amusement And Recreation Attendants,711190,55,55,Y,Seasonal,$358.40 ,Week,0,0,,N,,None,,,N,,N,,,N,,Topsham,ME,4086,Y
H-400-16365-817106,7-Feb-17,H-2B,1-Jan-17,Certification,1-Apr-17,30-Nov-17,ST. ANTHONY'S MONASTERY ASSOCIATION INC,Po Box 273,26 Beach Avenue,Kennebunk,ME,4043,United States Of America,N/A,207-967-2011,,U.S. Americans Inc,John Gismondi,Westbury,NY,Housekeeping,37-2012,Maids And Housekeeping Cleaners,722310,4,4,Y,Seasonal,$10.07 ,Hour,15.11,15.11,,N,,None,N/A,NONE,N,,N,,,Y,1,KENNEBUNK,ME,4043,N
