School year,District,Regular instruction (per student),Regular Instruction,Other instruction (per student),Other Instruction,Transp & Buses (per student),Transp & Buses,Debt Service (per student),Debt Service,Facilities Maintenance (per student),Facilities Maintenance,School Admin (per student),School Admin,Special Ed Instruction (per student),Special Ed Instruction,Student & Staff support (per student),Student & Staff support,System Admin (per student),System Admin,Vocational Ed Instruction (per student),Vocational Ed Instruction,All Other (per student),All Other,Total expenses per pupil
2003-04,Acton Public Schools,"$5,105","$2,281,882",,,$639,"$285,499",$513,"$229,300",$790,"$353,248",$252,"$112,805","$1,419","$634,190",$331,"$148,108",$293,"$130,787",,,$293,"$130,938","$9,635"
2004-05,Acton Public Schools,"$5,405","$2,326,846",,,$623,"$268,007",$616,"$265,098",$903,"$388,545",$267,"$114,892","$1,784","$768,199",$452,"$194,487",$402,"$172,970",,,$326,"$140,276","$10,778"
2005-06,Acton Public Schools,"$5,296","$2,134,143",,,$616,"$248,075",$625,"$251,867",$749,"$301,767",$322,"$129,556","$2,227","$897,538",$820,"$330,586",$436,"$175,817",,,$308,"$124,156","$11,399"
2006-07,Acton Public Schools,"$5,802","$2,349,680",$210,"$85,198",$686,"$277,873",$509,"$205,997",$859,"$348,074",$324,"$131,062","$2,156","$873,029",$653,"$264,254",$487,"$197,018",,,$297,"$120,268","$11,983"
2007-08,Acton Public Schools,"$6,138","$2,485,726",$122,"$49,474",$548,"$221,743",$492,"$199,359","$1,089","$440,927",$346,"$139,986","$2,169","$878,613",$685,"$277,208",$504,"$203,923",,,$250,"$101,179","$12,343"
2008-09,Acton Public Schools,"$6,195","$2,459,532",$57,"$22,506",$571,"$226,867",$528,"$209,468",$950,"$376,942",$326,"$129,539","$2,292","$909,913",$576,"$228,810",$556,"$220,543",,,$244,"$96,708","$12,295"
2009-10,Acton Public Schools,"$6,512","$2,585,054",$57,"$22,720",$624,"$247,738",$496,"$196,721",$870,"$345,236",$337,"$133,731","$2,173","$862,706",$556,"$220,833",$442,"$175,574",,,$237,"$94,120","$12,304"
2010-11,Acton Public Schools,"$6,983","$2,580,222",$60,"$22,158",$735,"$271,684",$459,"$169,694",$995,"$367,584",$360,"$132,965","$2,067","$763,841",$602,"$222,259",$525,"$193,837",,,$255,"$94,152","$13,041"
2011-12,Acton Public Schools,"$7,282","$2,628,675",$60,"$21,539",$739,"$266,722",,,"$1,132","$408,743",$391,"$141,262","$2,010","$725,452",$703,"$253,901",$536,"$193,405",,,$243,"$87,688","$13,096"
2012-13,Acton Public Schools,"$7,593","$2,570,227",$113,"$38,119",$905,"$306,442",,,"$1,110","$375,686",$458,"$155,105","$2,450","$829,466",$837,"$283,142",$655,"$221,677",,,$247,"$83,558","$14,368"
2013-14,Acton Public Schools,"$7,679","$2,445,653",$119,"$37,755",$964,"$307,170",,,"$1,347","$428,998",$522,"$166,346","$2,879","$917,053","$1,113","$354,345",$678,"$216,073",,,$251,"$80,086","$15,552"
2014-15,Acton Public Schools,"$8,432","$2,525,395",$119,"$35,544",$841,"$251,931",,,"$1,392","$416,963",$578,"$172,951","$2,699","$808,420","$1,204","$360,637",$704,"$210,723",,,$303,"$90,719","$16,272"
2003-04,Airline CSD,"$5,156","$355,732",,,$960,"$66,253",,,$716,"$49,426",,,$549,"$37,887",$373,"$25,703",$602,"$41,536",$185,"$12,730",$116,"$8,000","$8,657"
2004-05,Airline CSD,"$4,814","$351,427",$78,"$5,708",$949,"$69,243",,,$598,"$43,660",$445,"$32,519",$540,"$39,392",$108,"$7,848",$498,"$36,358",$189,"$13,791",$610,"$44,494","$8,829"
2005-06,Airline CSD,"$5,129","$371,873",,,"$1,000","$72,512",,,$752,"$54,523",$304,"$22,045",$806,"$58,450",$192,"$13,927",$703,"$50,942",$140,"$10,136",$14,"$1,000","$9,040"
2006-07,Airline CSD,"$5,420","$368,542",,,"$1,194","$81,216",,,$842,"$57,260",$689,"$46,829",$581,"$39,536",$204,"$13,892",$703,"$47,776",$126,"$8,543",$147,"$10,000","$9,906"
2008-09,Airline CSD,"$5,489","$354,054",$85,"$5,496","$1,301","$83,914",,,"$1,095","$70,599",$868,"$55,991",$730,"$47,075",$158,"$10,172",$561,"$36,182",$197,"$12,733",$315,"$20,301","$10,799"
2009-10,Airline CSD,"$5,291","$335,946",$88,"$5,590","$1,455","$92,379",,,"$1,277","$81,061",$888,"$56,366",$687,"$43,624",$115,"$7,320",$667,"$42,372",$213,"$13,497",$110,"$7,000","$10,791"
2010-11,Airline CSD,"$5,559","$341,853",$101,"$6,210","$1,617","$99,436",,,"$1,222","$75,131",$295,"$18,110","$1,474","$90,623",$129,"$7,919",$775,"$47,676",$204,"$12,539",$244,"$15,000","$11,620"
2011-12,Airline CSD,"$6,251","$375,034",$91,"$5,438","$1,517","$91,043",,,"$1,322","$79,288",$296,"$17,763","$1,240","$74,412",$151,"$9,036",$606,"$36,331",$215,"$12,925",$250,"$15,000","$11,939"
2012-13,Airline CSD,"$6,289","$355,335",$106,"$5,965","$2,054","$116,075",,,"$1,257","$71,027",$324,"$18,298","$1,610","$90,951",$150,"$8,450",$682,"$38,559",$178,"$10,048",$286,"$16,145","$12,936"
2013-14,Airline CSD,"$6,566","$367,697",$105,"$5,865","$1,920","$107,508",,,"$1,312","$73,461",$313,"$17,544","$1,959","$109,702",$156,"$8,708",$678,"$37,960",$179,"$10,029",,,"$13,188"
2014-15,Airline CSD,"$6,947","$385,579",$121,"$6,726","$1,770","$98,257",,,"$1,479","$82,100",$348,"$19,309","$2,528","$140,284",$183,"$10,168",$574,"$31,863",$236,"$13,098",$135,"$7,500","$14,321"
2003-04,Alexander Public Schools,"$3,919","$348,790",,,$826,"$73,537",,,$783,"$69,672",$545,"$48,544",$673,"$59,856",,,$254,"$22,628",,,$67,"$6,000","$7,067"
2004-05,Alexander Public Schools,"$5,147","$401,478",,,"$1,004","$78,295",,,$892,"$69,597",$306,"$23,834",$488,"$38,049",,,$500,"$38,978",,,$77,"$6,000","$8,414"
2005-06,Alexander Public Schools,"$5,417","$368,368",,,"$1,245","$84,689",,,"$1,426","$96,934",$380,"$25,847",$649,"$44,155",$12,$781,$561,"$38,122",,,$88,"$6,000","$9,778"
2006-07,Alexander Public Schools,"$6,694","$415,054",,,"$1,301","$80,646",,,"$1,650","$102,307",$435,"$26,987",$321,"$19,885",$8,$472,$586,"$36,300",,,$210,"$13,000","$11,205"
2007-08,Alexander Public Schools,"$6,508","$488,067",,,"$1,199","$89,887",,,"$1,896","$142,228",$426,"$31,927",$901,"$67,587",$4,$277,$507,"$38,033",,,$173,"$13,000","$11,614"
2008-09,Alexander Public Schools,"$6,065","$406,355",,,"$1,236","$82,812",,,"$1,552","$103,996",$477,"$31,945",$794,"$53,183",$1,$86,$615,"$41,197",,,$223,"$14,941","$10,963"
2009-10,Alexander Public Schools,"$6,648","$382,254",,,"$1,437","$82,614",,,"$1,569","$90,189",$558,"$32,065",$555,"$31,911",$5,$271,$684,"$39,336",,,$54,"$3,093","$11,510"
2010-11,Alexander Public Schools,"$5,737","$301,203",,,"$1,630","$85,575",,,"$1,750","$91,859",$551,"$28,911",$274,"$14,391",$14,$740,$614,"$32,236",,,$343,"$17,980","$10,913"
