District ID,District Name,School ID,School Name,,School Year,Total,4 Year Olds Program,,Early Kindergarten,Kindergarten,TotalK,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
1000,Acton Public Schools,1129,Acton Elementary School,,2011-12,214,-,,-,18,18,11,24,27,19,27,28,34,26,-,-,-,-
1284,Airline CSD,1835,Airline Community School,,2011-12,42,1,,-,3,3,6,3,2,8,1,6,8,4,-,-,-,-
1001,Alexander Public Schools,1130,Alexander Elementary,,2011-12,52,5,,-,4,4,2,8,5,5,3,7,10,3,-,-,-,-
1004,Appleton Public Schools,1132,Appleton Village School,,2011-12,137,-,,-,16,16,13,8,18,14,18,19,19,12,-,-,-,-
1007,Auburn Public Schools,1144,Auburn Middle School,,2011-12,556,-,,-,-,-,-,-,-,-,-,-,276,280,-,-,-,-
1007,Auburn Public Schools,1134,East Auburn Community School,,2011-12,170,28,,4,20,24,17,17,19,23,21,21,-,-,-,-,-,-
1007,Auburn Public Schools,1142,Edward Little High School,,2011-12,986,-,,-,-,-,-,-,-,-,-,-,-,-,236,252,244,254
1007,Auburn Public Schools,1135,Fairview School,,2011-12,569,25,,8,66,74,84,63,94,75,74,80,-,-,-,-,-,-
1007,Auburn Public Schools,1908,Park Avenue Elementary School,,2011-12,363,26,,3,49,52,49,51,49,39,54,43,-,-,-,-,-,-
1007,Auburn Public Schools,1143,Sherwood Heights Elementary Sch,,2011-12,400,28,,5,51,56,53,55,64,52,50,42,-,-,-,-,-,-
1007,Auburn Public Schools,1140,Walton School,,2011-12,301,30,,25,17,42,36,42,44,39,35,33,-,-,-,-,-,-
1007,Auburn Public Schools,1138,Washburn School,,2011-12,258,-,,-,51,51,38,38,35,34,31,31,-,-,-,-,-,-
1008,Augusta Public Schools,2602,Cony,,2011-12,"1,075",-,,-,-,-,-,-,-,-,-,-,143,145,181,190,187,229
1008,Augusta Public Schools,1151,Farrington School,,2011-12,376,-,,-,66,66,55,55,43,48,63,46,-,-,-,-,-,-
1008,Augusta Public Schools,1148,Lillian Parks Hussey School,,2011-12,204,-,,-,39,39,39,25,39,20,20,22,-,-,-,-,-,-
1008,Augusta Public Schools,1152,Lincoln School,,2011-12,279,-,,-,50,50,42,40,36,41,36,34,-,-,-,-,-,-
1008,Augusta Public Schools,1150,Sylvio J Gilbert School,,2011-12,404,97,,-,44,44,37,45,45,43,46,47,-,-,-,-,-,-
1009,Baileyville Public Schools,1155,Woodland Elementary School,,2011-12,144,28,,-,20,20,15,16,19,17,15,14,-,-,-,-,-,-
1009,Baileyville Public Schools,1154,Woodland Jr-Sr High School,,2011-12,209,-,,-,-,-,-,-,-,-,-,-,21,19,42,35,47,45
1011,Bangor Public Schools,1158,Abraham Lincoln School,,2011-12,215,32,,-,48,48,52,40,43,-,-,-,-,-,-,-,-,-
1011,Bangor Public Schools,1165,Bangor High School,,2011-12,"1,212",-,,-,-,-,-,-,-,-,-,-,-,-,279,324,323,286
1011,Bangor Public Schools,1161,Downeast School,,2011-12,336,60,,-,77,77,81,67,51,-,-,-,-,-,-,-,-,-
1011,Bangor Public Schools,1156,Fairmount School,,2011-12,300,-,,-,-,-,-,-,-,144,156,-,-,-,-,-,-,-
1011,Bangor Public Schools,1162,Fourteenth Street School,,2011-12,155,20,,-,32,32,36,37,30,-,-,-,-,-,-,-,-,-
1011,Bangor Public Schools,1157,Fruit Street School,,2011-12,340,34,,-,80,80,76,83,67,-,-,-,-,-,-,-,-,-
1011,Bangor Public Schools,1163,James F. Doughty School,,2011-12,381,-,,-,-,-,-,-,-,-,-,123,124,134,-,-,-,-
1011,Bangor Public Schools,1159,Mary Snow School,,2011-12,260,-,,-,-,-,-,-,-,139,121,-,-,-,-,-,-,-
1011,Bangor Public Schools,1160,Vine Street School,,2011-12,251,37,,-,58,58,53,60,43,-,-,-,-,-,-,-,-,-
1011,Bangor Public Schools,1164,William S. Cohen School,,2011-12,394,-,,-,-,-,-,-,-,-,-,128,125,141,-,-,-,-
1012,Bar Harbor Public Schools,1166,Conners-Emerson School,,2011-12,423,-,,-,41,41,39,45,52,52,48,35,56,55,-,-,-,-
1014,Beals Public Schools,1173,Beals Elementary School,,2011-12,50,8,,-,10,10,6,5,1,7,5,2,4,2,-,-,-,-
1016,Biddeford Public Schools,1174,Biddeford High School,,2011-12,848,-,,-,-,-,-,-,-,-,-,-,-,-,216,193,211,228
1016,Biddeford Public Schools,1910,Biddeford Intermediate School,,2011-12,377,-,,-,-,-,-,-,-,215,162,-,-,-,-,-,-,-
1016,Biddeford Public Schools,1176,Biddeford Middle School,,2011-12,597,-,,-,-,-,-,-,-,-,-,200,203,194,-,-,-,-
1016,Biddeford Public Schools,1177,Biddeford Primary School,,2011-12,572,-,,-,-,-,197,211,164,-,-,-,-,-,-,-,-,-
1016,Biddeford Public Schools,1175,John F Kennedy Memorial School,,2011-12,216,-,,-,216,216,-,-,-,-,-,-,-,-,-,-,-,-
3154,Blue Hill Harbor School,1952,Blue Hill Harbor School,,2011-12,14,-,,-,-,-,-,-,-,-,-,-,-,-,2,2,4,6
1017,Blue Hill Public Schools,1179,Blue Hill Consolidated School,,2011-12,237,-,,-,18,18,22,25,27,29,33,25,36,22,-,-,-,-
1281,Boothbay-Boothbay Hbr CSD,1832,Boothbay Region Elem School,,2011-12,381,-,,-,27,27,31,40,39,33,40,49,58,64,-,-,-,-
1281,Boothbay-Boothbay Hbr CSD,1831,Boothbay Region High School,,2011-12,217,-,,-,-,-,-,-,-,-,-,-,-,-,52,55,53,57
1021,Brewer Public Schools,2633,Brewer Community School,,2011-12,945,58,,-,87,87,105,96,83,106,120,100,96,94,-,-,-,-
1021,Brewer Public Schools,1186,Brewer High School,,2011-12,720,-,,-,-,-,-,-,-,-,-,-,-,-,181,187,186,166
1023,Bristol Public Schools,1188,Bristol Consolidated School,,2011-12,176,-,,-,18,18,21,19,17,17,20,21,21,22,-,-,-,-
1024,Brooklin Public Schools,1189,Brooklin School,,2011-12,56,-,,-,7,7,8,2,11,4,5,4,8,7,-,-,-,-
1025,Brooksville Public Schools,1190,Brooksville Elementary School,,2011-12,64,12,,-,3,3,10,5,5,4,6,5,11,3,-,-,-,-
1026,Brunswick Public Schools,1196,Brunswick High School,,2011-12,889,-,,-,-,-,-,-,-,-,-,-,-,-,221,236,218,214
1026,Brunswick Public Schools,1195,Brunswick Jr High School,,2011-12,537,-,,-,-,-,-,-,-,-,-,178,178,181,-,-,-,-
1026,Brunswick Public Schools,1191,Coffin School,,2011-12,356,-,,-,182,182,174,-,-,-,-,-,-,-,-,-,-,-
1026,Brunswick Public Schools,2631,Harriet Beecher Stowe Elementary,,2011-12,675,-,,-,-,-,-,189,142,169,175,-,-,-,-,-,-,-
1028,Calais Public Schools,1201,Calais Elementary School,,2011-12,281,19,,-,39,39,45,33,40,36,41,28,-,-,-,-,-,-
1028,Calais Public Schools,1203,Calais Middle/High School,,2011-12,328,-,,-,-,-,-,-,-,-,-,-,39,31,66,63,64,65
1029,Cape Elizabeth Public Schools,1207,Cape Elizabeth High School,,2011-12,548,-,,-,-,-,-,-,-,-,-,-,-,-,137,135,139,137
1029,Cape Elizabeth Public Schools,1206,Cape Elizabeth Middle School,,2011-12,556,-,,-,-,-,-,-,-,-,145,119,142,150,-,-,-,-
1029,Cape Elizabeth Public Schools,1205,Pond Cove Elementary,,2011-12,579,-,,-,107,107,105,120,127,120,-,-,-,-,-,-,-,-
1032,Castine Public Schools,1214,Adams School,,2011-12,62,8,,-,8,8,3,7,6,4,3,6,8,9,-,-,-,-
1033,Caswell Public Schools,1215,Dawn F Barnes Elementary Sch,,2011-12,41,4,,-,4,4,2,5,2,7,3,3,5,6,-,-,-,-
1035,Charlotte Public Schools,1216,Charlotte Elementary School,,2011-12,42,4,,-,5,5,4,3,4,6,1,6,6,3,-,-,-,-
3149,Chebeague Island Public Schools,1686,Chebeague Island School,,2011-12,17,-,,0,2,2,2,3,5,-,5,-,-,-,-,-,-,-
1040,Cranberry Isles Public Schools,1221,Ashley Bryan School,,2011-12,12,-,,-,2,2,-,4,2,2,-,-,-,2,-,-,-,-
3136,Cutler Public Schools,1809,Bay Ridge Elementary,,2011-12,61,4,,-,10,10,10,4,7,8,-,5,6,7,-,-,-,-
1046,Dedham Public Schools,1223,Dedham School,,2011-12,179,18,,-,16,16,21,18,18,12,22,15,23,16,-,-,-,-
1289,Deer Isle-Stonington CSD,1843,Deer Isle-Stonington Elementary Sch,,2011-12,209,-,,-,24,24,22,22,30,22,16,34,15,24,-,-,-,-
1289,Deer Isle-Stonington CSD,1842,Deer Isle-Stonington High Sch,,2011-12,139,-,,-,-,-,-,-,-,-,-,-,-,-,26,38,41,34
3129,East Machias Public Schools,1811,Elm Street School-East Machias,,2011-12,203,17,,-,20,20,23,17,20,22,20,16,22,26,-,-,-,-
1052,East Millinocket Public Schools,1226,Opal Myrick Elementary School,,2011-12,142,-,,-,28,28,25,27,35,27,-,-,-,-,-,-,-,-
1052,East Millinocket Public Schools,1227,Schenck High School,,2011-12,160,-,,-,-,-,-,-,-,-,-,-,-,-,38,48,36,38
1288,East Range CSD,1840,East Range II CSD School,,2011-12,37,-,,-,6,6,3,3,6,5,3,6,3,2,-,-,-,-
1053,Easton Public Schools,1229,Easton Elementary School,,2011-12,125,12,,3,20,23,16,16,13,10,12,23,-,-,-,-,-,-
1053,Easton Public Schools,1228,Easton Junior-Senior High Sch,,2011-12,97,-,,-,-,-,-,-,-,-,-,-,15,9,24,12,15,22
1054,Eastport Public Schools,1230,Eastport Elementary School,,2011-12,79,3,,-,6,6,6,8,8,9,10,7,7,15,-,-,-,-
1054,Eastport Public Schools,1231,Shead High School,,2011-12,116,-,,-,-,-,-,-,-,-,-,-,-,-,25,32,26,33
1055,Edgecomb Public Schools,1232,Edgecomb Eddy School,,2011-12,100,-,,-,8,8,22,16,9,16,14,15,-,-,-,-,-,-
1269,Education in Unorganized Terr,1814,Connor Consolidated School,,2011-12,45,4,,-,6,6,10,8,2,5,9,1,-,-,-,-,-,-
1269,Education in Unorganized Terr,1815,Edmunds Consolidated School,,2011-12,51,3,,-,4,4,2,8,5,5,6,4,7,7,-,-,-,-
1269,Education in Unorganized Terr,1816,Kingman Elementary School,,2011-12,9,-,,-,2,2,3,3,-,1,-,-,-,-,-,-,-,-
1332,Erskine Academy,1033,Erskine Academy,,2011-12,624,-,,-,-,-,-,-,-,-,-,-,-,-,140,156,155,173
1057,Falmouth Public Schools,2634,Falmouth Elementary School,,2011-12,893,-,,-,140,140,135,132,163,166,157,-,-,-,-,-,-,-
1057,Falmouth Public Schools,1240,Falmouth High School,,2011-12,733,-,,-,-,-,-,-,-,-,-,-,-,-,176,193,184,180
1057,Falmouth Public Schools,1241,Falmouth Middle School,,2011-12,525,-,,-,-,-,-,-,-,-,-,172,170,183,-,-,-,-
1058,Fayette Public Schools,1242,Fayette Central School,,2011-12,68,9,,5,7,12,9,11,8,6,13,-,-,-,-,-,-,-
1294,Five Town CSD,1852,Camden Hills Regional H S,,2011-12,642,-,,-,-,-,-,-,-,-,-,-,-,-,156,176,152,158
1335,Foxcroft Academy,1036,Foxcroft Academy,,2011-12,365,-,,-,-,-,-,-,-,-,-,-,-,-,99,79,88,99
1094,Frenchboro Public Schools,1296,Frenchboro Elementary School,,2011-12,11,-,,-,1,1,1,1,2,1,2,3,-,-,-,-,-,-
1348,Fryeburg Academy,1049,Fryeburg Academy,,2011-12,464,-,,-,-,-,-,-,-,-,-,-,-,-,96,118,125,125
1320,George Stevens Academy,1021,George Stevens Academy,,2011-12,261,-,,-,-,-,-,-,-,-,-,-,-,-,84,55,68,54
1061,Georgetown Public Schools,1247,Georgetown Central School,,2011-12,89,10,,0,18,18,13,10,10,17,5,6,-,-,-,-,-,-
1065,Gorham Public Schools,1253,Gorham High School,,2011-12,860,-,,-,-,-,-,-,-,-,-,-,-,-,222,226,211,201
1065,Gorham Public Schools,1858,Gorham Middle School,,2011-12,626,-,,-,-,-,-,-,-,-,-,202,221,203,-,-,-,-
1065,Gorham Public Schools,2632,Great Falls Elementary School,,2011-12,499,-,,-,78,78,79,92,92,89,69,-,-,-,-,-,-,-
1065,Gorham Public Schools,1254,Narragansett Elementary School,,2011-12,277,-,,-,36,36,36,63,48,40,54,-,-,-,-,-,-,-
1065,Gorham Public Schools,1251,Village Elementary School-Gorham,,2011-12,434,-,,-,69,69,77,68,73,85,62,-,-,-,-,-,-,-
1290,Great Salt Bay CSD,1845,Great Salt Bay Community School,,2011-12,414,-,,-,47,47,34,50,38,46,52,52,45,50,-,-,-,-
1069,Greenbush Public Schools,1257,Helen S Dunn Elementary School,,2011-12,152,12,,1,18,19,11,15,19,17,11,16,15,17,-,-,-,-
1070,Greenville Public Schools,1258,Greenville Middle/High School,,2011-12,134,-,,-,-,-,-,-,-,-,-,24,12,14,22,14,27,21
1070,Greenville Public Schools,1259,Nickerson Elementary School,,2011-12,101,-,,-,15,15,13,17,13,24,19,-,-,-,-,-,-,-
1073,Harmony Public Schools,1261,Harmony Elementary,,2011-12,103,-,,-,10,10,7,9,6,16,14,14,17,10,-,-,-,-
1074,Hermon Public Schools,1262,Hermon Elementary School,,2011-12,361,34,,-,67,67,76,69,54,61,-,-,-,-,-,-,-,-
1074,Hermon Public Schools,1264,Hermon High School,,2011-12,550,-,,-,-,-,-,-,-,-,-,-,-,-,128,139,137,146
1074,Hermon Public Schools,1263,Hermon Middle School,,2011-12,291,-,,-,-,-,-,-,-,-,73,85,60,73,-,-,-,-
1077,Hope Public Schools,1265,Hope Elementary School,,2011-12,169,-,,-,15,15,13,19,19,22,20,29,17,15,-,-,-,-
1270,Indian Island,1820,Indian Island School,,2011-12,122,11,,-,13,13,15,12,9,17,17,7,10,11,-,-,-,-
1271,Indian Township,1821,Indian Township School,,2011-12,138,20,,-,20,20,19,11,13,12,13,9,12,9,-,-,-,-
1079,Islesboro Public Schools,1267,Islesboro Central School,,2011-12,86,-,,-,1,1,5,4,5,2,5,8,8,12,11,6,11,8
1081,Jefferson Public Schools,1271,Jefferson Village School,,2011-12,185,-,,-,22,22,23,20,26,15,20,18,17,24,-,-,-,-
1307,John Bapst Memorial High School,1008,John Bapst Memorial High School,,2011-12,426,-,,-,-,-,-,-,-,-,-,-,-,-,107,100,108,111
1082,Jonesboro Public Schools,1272,Jonesboro Elementary School,,2011-12,57,8,,-,5,5,6,5,3,4,7,7,5,7,-,-,-,-
1083,Jonesport Public Schools,1273,Jonesport Elementary School,,2011-12,122,5,,-,11,11,17,9,21,12,8,13,14,12,-,-,-,-
1085,Kittery Public Schools,1274,Horace Mitchell Primary School,,2011-12,378,-,,-,107,107,102,88,81,-,-,-,-,-,-,-,-,-
1085,Kittery Public Schools,1277,Robert W Traip Academy,,2011-12,273,-,,-,-,-,-,-,-,-,-,-,-,-,69,74,67,63
1085,Kittery Public Schools,1275,Shapleigh School,,2011-12,362,-,,-,-,-,-,-,-,84,64,72,76,66,-,-,-,-
1356,Lee Academy,1057,Lee Academy,,2011-12,164,-,,-,-,-,-,-,-,-,-,-,-,-,41,37,42,44
1088,Lewiston Public Schools,1279,Farwell Elementary School,,2011-12,357,-,,-,59,59,53,54,53,46,40,52,-,-,-,-,-,-
1088,Lewiston Public Schools,1286,Governor James B Longley Elem Sch,,2011-12,348,32,,-,65,65,65,35,45,39,35,32,-,-,-,-,-,-
1088,Lewiston Public Schools,1283,Lewiston High School,,2011-12,"1,338",-,,-,-,-,-,-,-,-,-,-,-,-,307,336,336,359
1088,Lewiston Public Schools,1285,Lewiston Middle School,,2011-12,705,-,,-,-,-,-,-,-,-,-,-,389,316,-,-,-,-
1088,Lewiston Public Schools,1280,Martel School,,2011-12,299,-,,-,48,48,53,47,35,35,39,42,-,-,-,-,-,-
1088,Lewiston Public Schools,1282,Montello School,,2011-12,709,64,,-,109,109,106,88,93,70,94,85,-,-,-,-,-,-
1088,Lewiston Public Schools,1960,Raymond A. Geiger Elementary School,,2011-12,708,32,,-,109,109,107,100,83,100,93,84,-,-,-,-,-,-
1088,Lewiston Public Schools,1284,Thomas J McMahon Elementary Sch,,2011-12,549,64,,-,75,75,74,67,75,66,65,63,-,-,-,-,-,-
1364,Lincoln Academy,1066,Lincoln Academy,,2011-12,498,-,,-,-,-,-,-,-,-,-,-,-,-,114,143,129,112
1091,Lincolnville Public Schools,1289,Lincolnville Central School,,2011-12,191,-,,-,21,21,22,21,22,23,16,17,26,23,-,-,-,-
1092,Lisbon Public Schools,1872,Lisbon Community School,,2011-12,631,56,,-,97,97,107,87,95,94,95,-,-,-,-,-,-,-
1092,Lisbon Public Schools,1293,Lisbon High School,,2011-12,427,-,,-,-,-,-,-,-,-,-,-,-,-,95,117,88,127
1092,Lisbon Public Schools,1292,Philip W Sugg Middle School,,2011-12,280,-,,-,-,-,-,-,-,-,-,95,102,83,-,-,-,-
1135,Long Island Public Schools,1362,Long Island Elementary School,,2011-12,16,-,,-,1,1,3,-,6,1,5,-,-,-,-,-,-,-
