District ID,District Name,School ID,School Name,F5,School Year,Total,4 Year Olds Program,F9,Early Kindergarten,Kindergarten,Total K,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,Table Name,School year (fall),School Name (group)
1007,Auburn Public Schools,1142,Edward Little High School,null,2006-07,"1,162",-,null,-,null,-,null,null,null,null,null,null,null,null,305,280,255,322,2006-2007.csv,9/1/06,Edward Little High School
1007,Auburn Public Schools,1144,Auburn Middle School,null,2006-07,526,-,null,-,null,-,null,null,null,null,null,null,258,268,null,null,null,null,2006-2007.csv,9/1/06,Auburn Middle School
1008,Augusta Public Schools,1147,Ella R Hodgkins School,null,2006-07,374,-,null,-,null,-,null,null,null,null,null,null,196,178,null,null,null,null,2006-2007.csv,9/1/06,Ella R Hodgkins School
1008,Augusta Public Schools,1149,Cony High School,null,2006-07,951,-,null,-,null,-,null,null,null,null,null,null,null,null,258,220,249,224,2006-2007.csv,9/1/06,Cony High School
1009,Baileyville Public Schools,1154,Woodland Jr-Sr High School,null,2006-07,255,-,null,-,null,-,null,null,null,null,null,null,31,29,66,36,53,40,2006-2007.csv,9/1/06,Woodland Jr-Sr High School
1011,Bangor Public Schools,1156,Fairmount School,null,2006-07,284,-,null,-,null,-,null,null,null,122,162,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Fairmount School
1011,Bangor Public Schools,1159,Mary Snow School,null,2006-07,258,-,null,-,null,-,null,null,null,129,129,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Mary Snow School
1011,Bangor Public Schools,1163,James F. Doughty School,null,2006-07,374,-,null,-,null,-,null,null,null,null,null,127,117,130,null,null,null,null,2006-2007.csv,9/1/06,James F. Doughty School
1011,Bangor Public Schools,1164,William S. Cohen School,null,2006-07,421,-,null,-,null,-,null,null,null,null,null,128,132,161,null,null,null,null,2006-2007.csv,9/1/06,William S. Cohen School
1011,Bangor Public Schools,1165,Bangor High School,null,2006-07,"1,473",-,null,-,null,-,null,null,null,null,null,null,null,null,356,371,371,375,2006-2007.csv,9/1/06,Bangor High School
1013,Bath School Department,1168,Fisher-Mitchell School,null,2006-07,280,-,null,-,null,-,null,null,95,102,83,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Fisher-Mitchell School
1013,Bath School Department,1170,Bath Middle School,null,2006-07,415,-,null,-,null,-,null,null,null,null,null,112,163,140,null,null,null,null,2006-2007.csv,9/1/06,Bath Middle School
1013,Bath School Department,1171,Morse High School,null,2006-07,773,-,null,-,null,-,null,null,null,null,null,null,null,null,188,204,165,216,2006-2007.csv,9/1/06,Morse High School
1016,Biddeford Public Schools,1174,Biddeford High School,null,2006-07,952,-,null,-,null,-,null,null,null,null,null,null,null,null,260,247,227,218,2006-2007.csv,9/1/06,Biddeford High School
1016,Biddeford Public Schools,1176,Biddeford Middle School,null,2006-07,649,-,null,-,null,-,null,null,null,null,null,208,223,218,null,null,null,null,2006-2007.csv,9/1/06,Biddeford Middle School
1016,Biddeford Public Schools,1910,Biddeford Intermediate School,null,2006-07,389,-,null,-,null,-,null,null,null,199,190,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Biddeford Intermediate School
1021,Brewer Public Schools,1181,State Street School,null,2006-07,195,-,null,-,null,-,null,null,null,107,88,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,State Street School
1021,Brewer Public Schools,1182,Washington Street School Bldg,null,2006-07,299,-,null,-,null,-,112,96,91,null,null,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Washington Street School Bldg
1021,Brewer Public Schools,1185,Brewer Middle School,null,2006-07,303,-,null,-,null,-,null,null,null,null,null,104,113,86,null,null,null,null,2006-2007.csv,9/1/06,Brewer Middle School
1021,Brewer Public Schools,1186,Brewer High School,null,2006-07,918,-,null,-,null,-,null,null,null,null,null,null,null,null,214,254,222,228,2006-2007.csv,9/1/06,Brewer High School
1026,Brunswick Public Schools,1192,Hawthorne School,null,2006-07,111,-,null,-,null,-,22,24,20,18,27,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Hawthorne School
1026,Brunswick Public Schools,1195,Brunswick Jr High School,null,2006-07,710,-,null,-,null,-,null,null,null,null,null,230,236,244,null,null,null,null,2006-2007.csv,9/1/06,Brunswick Jr High School
1026,Brunswick Public Schools,1196,Brunswick High School,null,2006-07,"1,214",-,null,-,null,-,null,null,null,null,null,null,null,null,335,317,292,270,2006-2007.csv,9/1/06,Brunswick High School
1027,Bucksport School Department,1199,Bucksport High School,null,2006-07,474,-,null,-,null,-,null,null,null,null,null,null,null,null,112,139,110,113,2006-2007.csv,9/1/06,Bucksport High School
1027,Bucksport School Department,1200,Miles Lane School,null,2006-07,242,-,null,-,null,-,54,58,53,77,null,null,null,null,null,null,null,null,2006-2007.csv,9/1/06,Miles Lane School
1027,Bucksport School Department,1857,Bucksport Middle School,null,2006-07,296,-,null,-,null,-,null,null,null,null,69,67,86,74,null,null,null,null,2006-2007.csv,9/1/06,Bucksport Middle School
