date,single-family home sales,median sale price
1/1/09,408,"$152,250.00 "
2/1/09,433,"$158,000.00 "
3/1/09,558,"$150,000.00 "
4/1/09,610,"$160,000.00 "
5/1/09,877,"$160,000.00 "
6/1/09,"1,133","$170,000.00 "
7/1/09,"1,154","$165,500.00 "
8/1/09,"1,050","$162,800.00 "
9/1/09,"1,139","$167,000.00 "
10/1/09,"1,247","$165,000.00 "
11/1/09,"1,025","$164,000.00 "
12/1/09,852,"$165,000.00 "
1/1/10,484,"$160,000.00 "
2/1/10,494,"$158,000.00 "
3/1/10,815,"$164,000.00 "
4/1/10,994,"$165,450.00 "
5/1/10,"1,090","$169,900.00 "
6/1/10,"1,253","$175,000.00 "
7/1/10,807,"$172,500.00 "
8/1/10,950,"$169,750.00 "
9/1/10,899,"$169,900.00 "
10/1/10,885,"$166,500.00 "
11/1/10,781,"$170,000.00 "
12/1/10,761,"$172,000.00 "
1/1/11,536,"$160,000.00 "
2/1/11,482,"$159,450.00 "
3/1/11,646,"$159,700.00 "
4/1/11,758,"$160,750.00 "
5/1/11,784,"$165,700.00 "
6/1/11,985,"$172,600.00 "
7/1/11,994,"$177,500.00 "
8/1/11,1090,"$165,000.00 "
9/1/11,967,"$159,000.00 "
10/1/11,945,"$165,000.00 "
11/1/11,856,"$169,000.00 "
12/1/11,794,"$160,000.00 "
1/1/12,547,"$157,000.00 "
2/1/12,624,"$149,900.00 "
3/1/12,731,"$160,000.00 "
4/1/12,824,"$167,950.00 "
5/1/12,1035,"$178,000.00 "
6/1/12,1247,"$175,500.00 "
7/1/12,1086,"$171,000.00 "
8/1/12,1255,"$170,000.00 "
9/1/12,1049,"$170,000.00 "
10/1/12,1177,"$170,500.00 "
11/1/12,1058,"$172,250.00 "
12/1/12,888,"$170,000.00 "
1/1/13,664,"$162,000.00 "
2/1/13,593,"$151,500.00 "
3/1/13,792,"$170,000.00 "
4/1/13,937,"$174,900.00 "
5/1/13,"1,214","$178,500.00 "
6/1/13,"1,327","$184,000.00 "
7/1/13,"1,426","$179,000.00 "
8/1/13,"1,506","$182,000.00 "
9/1/13,"1,307","$173,000.00 "
10/1/13,"1,246","$176,250.00 "
11/1/13,"1,086","$175,000.00 "
12/1/13,990,"$170,250.00 "
1/1/14,721,"$166,500.00 "
2/1/14,646,"$160,000.00 "
3/1/14,892,"$162,000.00 "
4/1/14,1015,"$169,000.00 "
5/1/14,1302,"$169,950.00 "
6/1/14,1513,"$185,000.00 "
7/1/14,1455,"$181,500.00 "
8/1/14,1556,"$178,000.00 "
9/1/14,1393,"$175,000.00 "
10/1/14,1573,"$175,000.00 "
11/1/14,979,"$172,500.00 "
12/1/14,1080,"$181,800.00 "
1/1/15,783,"$160,000.00 "
2/1/15,732,"$167,400.00 "
3/1/15,950,"$170,000.00 "
4/1/15,1032,"$178,000.00 "
5/1/15,1335,"$185,000.00 "
6/1/15,1788,"$187,700.00 "
7/1/15,1749,"$188,900.00 "
8/1/15,1661,"$187,000.00 "
9/1/15,1632,"$185,450.00 "
10/1/15,1561,"$187,500.00 "
11/1/15,1201,"$180,000.00 "
12/1/15,1248,"$177,750.00 "
1/1/16,889,"$175,500.00 "
2/1/16,891,"$160,000.00 "
3/1/16,1089,"$182,500.00 "
4/1/16,1285,"$180,000.00 "
5/1/16,1672,"$190,250.00 "
6/1/16,1960,"$198,000.00 "
7/1/16,1710,"$197,700.00 "
8/1/16,1840,"$188,038.00 "
9/1/16,1732,"$188,038.00 "
10/1/16,1639,"$192,500.00 "
11/1/16,1414,"$191,863.00 "
12/1/16,1386,"$185,000.00 "
