Commodity,State,Time,Total Value ($US)
All Commodities,All States,2002,"97,470,271,485"
All Commodities,All States,2003,"97,411,793,347"
All Commodities,All States,2004,"110,731,284,870"
All Commodities,All States,2005,"120,247,580,142"
All Commodities,All States,2006,"133,721,712,754"
All Commodities,All States,2007,"135,918,138,711"
All Commodities,All States,2008,"151,220,056,463"
All Commodities,All States,2009,"128,892,137,645"
All Commodities,All States,2010,"163,664,645,537"
All Commodities,All States,2011,"198,288,737,278"
All Commodities,All States,2012,"215,875,115,867"
All Commodities,All States,2013,"225,954,367,783"
All Commodities,All States,2014,"240,331,176,824"
All Commodities,All States,2015,"235,745,137,477"
All Commodities,All States,2016 through November,"211,848,666,960"
All Commodities,Connecticut,2002,"402,897,368"
All Commodities,Connecticut,2003,"476,519,406"
All Commodities,Connecticut,2004,"586,886,621"
All Commodities,Connecticut,2005,"560,170,713"
All Commodities,Connecticut,2006,"705,854,091"
All Commodities,Connecticut,2007,"784,863,676"
All Commodities,Connecticut,2008,"1,045,727,789"
All Commodities,Connecticut,2009,"757,021,828"
All Commodities,Connecticut,2010,"982,300,772"
All Commodities,Connecticut,2011,"1,101,755,143"
All Commodities,Connecticut,2012,"1,142,184,338"
All Commodities,Connecticut,2013,"1,213,260,576"
All Commodities,Connecticut,2014,"1,280,725,691"
All Commodities,Connecticut,2015,"1,319,126,998"
All Commodities,Connecticut,2016 through November,"975,846,908"
All Commodities,Maine,2002,"29,129,438"
All Commodities,Maine,2003,"24,101,121"
All Commodities,Maine,2004,"26,416,981"
All Commodities,Maine,2005,"33,005,131"
All Commodities,Maine,2006,"41,351,167"
All Commodities,Maine,2007,"29,096,574"
All Commodities,Maine,2008,"32,286,351"
All Commodities,Maine,2009,"43,132,829"
All Commodities,Maine,2010,"32,295,119"
All Commodities,Maine,2011,"28,290,063"
All Commodities,Maine,2012,"34,828,312"
All Commodities,Maine,2013,"42,653,576"
All Commodities,Maine,2014,"53,504,559"
All Commodities,Maine,2015,"59,551,925"
All Commodities,Maine,2016 through November,"42,348,278"
All Commodities,Massachusetts,2002,"569,184,560"
All Commodities,Massachusetts,2003,"702,152,099"
All Commodities,Massachusetts,2004,"755,059,806"
All Commodities,Massachusetts,2005,"781,969,090"
All Commodities,Massachusetts,2006,"824,287,815"
All Commodities,Massachusetts,2007,"995,503,009"
All Commodities,Massachusetts,2008,"1,162,834,835"
All Commodities,Massachusetts,2009,"902,390,162"
All Commodities,Massachusetts,2010,"1,273,049,048"
All Commodities,Massachusetts,2011,"1,437,437,585"
All Commodities,Massachusetts,2012,"1,608,839,987"
All Commodities,Massachusetts,2013,"1,861,419,740"
All Commodities,Massachusetts,2014,"2,317,848,939"
All Commodities,Massachusetts,2015,"2,622,529,698"
All Commodities,Massachusetts,2016 through November,"2,273,253,160"
All Commodities,New Hampshire,2002,"63,786,007"
All Commodities,New Hampshire,2003,"84,652,936"
All Commodities,New Hampshire,2004,"94,223,129"
All Commodities,New Hampshire,2005,"103,356,477"
All Commodities,New Hampshire,2006,"116,003,230"
All Commodities,New Hampshire,2007,"128,424,047"
All Commodities,New Hampshire,2008,"557,782,983"
All Commodities,New Hampshire,2009,"767,437,976"
All Commodities,New Hampshire,2010,"1,048,720,916"
All Commodities,New Hampshire,2011,"943,253,516"
All Commodities,New Hampshire,2012,"474,220,993"
All Commodities,New Hampshire,2013,"409,192,868"
All Commodities,New Hampshire,2014,"449,578,115"
All Commodities,New Hampshire,2015,"503,095,323"
All Commodities,New Hampshire,2016 through November,"405,517,937"
All Commodities,Rhode Island,2002,"75,085,351"
All Commodities,Rhode Island,2003,"66,771,733"
All Commodities,Rhode Island,2004,"65,210,762"
All Commodities,Rhode Island,2005,"68,028,885"
All Commodities,Rhode Island,2006,"103,513,536"
All Commodities,Rhode Island,2007,"71,141,717"
All Commodities,Rhode Island,2008,"82,451,589"
All Commodities,Rhode Island,2009,"83,808,523"
All Commodities,Rhode Island,2010,"136,360,072"
All Commodities,Rhode Island,2011,"158,473,415"
All Commodities,Rhode Island,2012,"150,239,498"
All Commodities,Rhode Island,2013,"166,195,236"
All Commodities,Rhode Island,2014,"195,344,506"
All Commodities,Rhode Island,2015,"180,609,200"
All Commodities,Rhode Island,2016 through November,"164,892,957"
All Commodities,Vermont,2002,"29,662,691"
All Commodities,Vermont,2003,"34,179,640"
All Commodities,Vermont,2004,"33,226,125"
All Commodities,Vermont,2005,"38,740,741"
All Commodities,Vermont,2006,"41,937,413"
All Commodities,Vermont,2007,"51,900,954"
All Commodities,Vermont,2008,"66,728,901"
All Commodities,Vermont,2009,"48,392,827"
All Commodities,Vermont,2010,"62,244,726"
All Commodities,Vermont,2011,"72,452,143"
All Commodities,Vermont,2012,"129,615,014"
All Commodities,Vermont,2013,"129,855,907"
All Commodities,Vermont,2014,"212,269,106"
All Commodities,Vermont,2015,"212,902,020"
All Commodities,Vermont,2016 through November,"121,122,005"
01 Live Animals,All States,2002,"141,384,391"
01 Live Animals,All States,2003,"69,766,258"
