Commodity,State,Time,Total Value ($US)
All Commodities,All States,2008,"215,941,618,934"
All Commodities,All States,2009,"176,654,372,581"
All Commodities,All States,2010,"229,985,623,006"
All Commodities,All States,2011,"262,873,595,958"
All Commodities,All States,2012,"277,593,639,546"
All Commodities,All States,2013,"280,556,040,242"
All Commodities,All States,2014,"295,739,481,074"
All Commodities,All States,2015,"296,407,901,065"
All Commodities,All States,2016 through November,"270,647,244,592"
All Commodities,Connecticut,2008,"2,222,744,274"
All Commodities,Connecticut,2009,"1,716,477,167"
All Commodities,Connecticut,2010,"2,565,718,738"
All Commodities,Connecticut,2011,"4,332,865,578"
All Commodities,Connecticut,2012,"1,692,610,244"
All Commodities,Connecticut,2013,"1,016,232,324"
All Commodities,Connecticut,2014,"2,576,770,333"
All Commodities,Connecticut,2015,"2,479,576,748"
All Commodities,Connecticut,2016 through November,"2,282,014,173"
All Commodities,Maine,2008,"37,570,148"
All Commodities,Maine,2009,"62,614,426"
All Commodities,Maine,2010,"63,739,109"
All Commodities,Maine,2011,"61,936,416"
All Commodities,Maine,2012,"61,920,978"
All Commodities,Maine,2013,"56,682,240"
All Commodities,Maine,2014,"72,389,346"
All Commodities,Maine,2015,"74,005,241"
All Commodities,Maine,2016 through November,"66,445,342"
All Commodities,Massachusetts,2008,"1,986,003,604"
All Commodities,Massachusetts,2009,"2,288,202,143"
All Commodities,Massachusetts,2010,"2,880,529,134"
All Commodities,Massachusetts,2011,"3,206,664,893"
All Commodities,Massachusetts,2012,"3,266,737,414"
All Commodities,Massachusetts,2013,"3,378,830,747"
All Commodities,Massachusetts,2014,"3,622,095,923"
All Commodities,Massachusetts,2015,"3,940,717,272"
All Commodities,Massachusetts,2016 through November,"3,204,219,107"
All Commodities,New Hampshire,2008,"487,765,000"
All Commodities,New Hampshire,2009,"416,522,267"
All Commodities,New Hampshire,2010,"568,668,483"
All Commodities,New Hampshire,2011,"556,580,703"
All Commodities,New Hampshire,2012,"562,204,171"
All Commodities,New Hampshire,2013,"574,022,441"
All Commodities,New Hampshire,2014,"574,568,565"
All Commodities,New Hampshire,2015,"488,729,976"
All Commodities,New Hampshire,2016 through November,"396,253,544"
All Commodities,Rhode Island,2008,"588,334,520"
All Commodities,Rhode Island,2009,"701,064,369"
All Commodities,Rhode Island,2010,"868,887,614"
All Commodities,Rhode Island,2011,"1,065,069,944"
All Commodities,Rhode Island,2012,"1,296,722,438"
All Commodities,Rhode Island,2013,"1,080,260,709"
All Commodities,Rhode Island,2014,"944,774,974"
All Commodities,Rhode Island,2015,"1,213,993,166"
All Commodities,Rhode Island,2016 through November,"1,018,432,900"
All Commodities,Vermont,2008,"43,580,327"
All Commodities,Vermont,2009,"39,678,381"
All Commodities,Vermont,2010,"37,259,873"
All Commodities,Vermont,2011,"50,983,570"
All Commodities,Vermont,2012,"97,591,393"
All Commodities,Vermont,2013,"109,127,181"
All Commodities,Vermont,2014,"45,857,543"
All Commodities,Vermont,2015,"32,758,551"
All Commodities,Vermont,2016 through November,"36,268,413"
01 Live Animals,All States,2008,"302,612,222"
01 Live Animals,All States,2009,"384,946,946"
01 Live Animals,All States,2010,"526,515,309"
01 Live Animals,All States,2011,"621,032,504"
01 Live Animals,All States,2012,"720,551,082"
